"period","respondent","respondent-name","fueltype","type-name","value","value-units"
"2026-09-11T01","CISO","California Independent System Operator","GEO","Geothermal","757","megawatthours"
"2026-09-11T01","CISO","California Independent System Operator","SUN","Solar","10690","megawatthours"
"2026-09-11T01","CISO","California Independent System Operator","WAT","Hydro","3703","megawatthours"
"2026-09-11T01","CISO","California Independent System Operator","WND","Wind","4998","megawatthours"
"2026-09-11T00","CISO","California Independent System Operator","GEO","Geothermal","711","megawatthours"
"2026-09-11T00","CISO","California Independent System Operator","SUN","Solar","15465","megawatthours"
"2026-09-11T00","CISO","California Independent System Operator","WAT","Hydro","2916","megawatthours"
"2026-09-11T00","CISO","California Independent System Operator","WND","Wind","4487","megawatthours"
"2026-09-10T23","CISO","California Independent System Operator","GEO","Geothermal","723","megawatthours"
"2026-09-10T23","CISO","California Independent System Operator","SUN","Solar","17189","megawatthours"
"2026-09-10T23","CISO","California Independent System Operator","WAT","Hydro","2591","megawatthours"
"2026-09-10T23","CISO","California Independent System Operator","WND","Wind","4088","megawatthours"
"2026-09-10T22","CISO","California Independent System Operator","GEO","Geothermal","736","megawatthours"
"2026-09-10T22","CISO","California Independent System Operator","SUN","Solar","18125","megawatthours"
"2026-09-10T22","CISO","California Independent System Operator","WAT","Hydro","2241","megawatthours"
"2026-09-10T22","CISO","California Independent System Operator","WND","Wind","3312","megawatthours"
"2026-09-10T21","CISO","California Independent System Operator","GEO","Geothermal","729","megawatthours"
"2026-09-10T21","CISO","California Independent System Operator","SUN","Solar","18855","megawatthours"
"2026-09-10T21","CISO","California Independent System Operator","WAT","Hydro","1834","megawatthours"
"2026-09-10T21","CISO","California Independent System Operator","WND","Wind","2414","megawatthours"
"2026-09-10T20","CISO","California Independent System Operator","GEO","Geothermal","737","megawatthours"
"2026-09-10T20","CISO","California Independent System Operator","SUN","Solar","19159","megawatthours"
"2026-09-10T20","CISO","California Independent System Operator","WAT","Hydro","1546","megawatthours"
"2026-09-10T20","CISO","California Independent System Operator","WND","Wind","1917","megawatthours"
"2026-09-10T19","CISO","California Independent System Operator","GEO","Geothermal","745","megawatthours"
"2026-09-10T19","CISO","California Independent System Operator","SUN","Solar","19318","megawatthours"
"2026-09-10T19","CISO","California Independent System Operator","WAT","Hydro","1807","megawatthours"
"2026-09-10T19","CISO","California Independent System Operator","WND","Wind","1789","megawatthours"
"2026-09-10T18","CISO","California Independent System Operator","GEO","Geothermal","740","megawatthours"
"2026-09-10T18","CISO","California Independent System Operator","SUN","Solar","18822","megawatthours"
"2026-09-10T18","CISO","California Independent System Operator","WAT","Hydro","1904","megawatthours"
"2026-09-10T18","CISO","California Independent System Operator","WND","Wind","2026","megawatthours"
"2026-09-10T17","CISO","California Independent System Operator","GEO","Geothermal","752","megawatthours"
"2026-09-10T17","CISO","California Independent System Operator","SUN","Solar","17715","megawatthours"
"2026-09-10T17","CISO","California Independent System Operator","WAT","Hydro","1988","megawatthours"
"2026-09-10T17","CISO","California Independent System Operator","WND","Wind","2278","megawatthours"
"2026-09-10T16","CISO","California Independent System Operator","GEO","Geothermal","750","megawatthours"
"2026-09-10T16","CISO","California Independent System Operator","SUN","Solar","13610","megawatthours"
"2026-09-10T16","CISO","California Independent System Operator","WAT","Hydro","1961","megawatthours"
"2026-09-10T16","CISO","California Independent System Operator","WND","Wind","2586","megawatthours"
"2026-09-10T15","CISO","California Independent System Operator","GEO","Geothermal","753","megawatthours"
"2026-09-10T15","CISO","California Independent System Operator","SUN","Solar","5325","megawatthours"
"2026-09-10T15","CISO","California Independent System Operator","WAT","Hydro","2298","megawatthours"
"2026-09-10T15","CISO","California Independent System Operator","WND","Wind","3100","megawatthours"
"2026-09-10T14","CISO","California Independent System Operator","GEO","Geothermal","743","megawatthours"
"2026-09-10T14","CISO","California Independent System Operator","SUN","Solar","215","megawatthours"
"2026-09-10T14","CISO","California Independent System Operator","WAT","Hydro","2546","megawatthours"
"2026-09-10T14","CISO","California Independent System Operator","WND","Wind","3431","megawatthours"
"2026-09-10T13","CISO","California Independent System Operator","GEO","Geothermal","734","megawatthours"
"2026-09-10T13","CISO","California Independent System Operator","SUN","Solar","-59","megawatthours"
"2026-09-10T13","CISO","California Independent System Operator","WAT","Hydro","2360","megawatthours"
"2026-09-10T13","CISO","California Independent System Operator","WND","Wind","3429","megawatthours"
"2026-09-10T12","CISO","California Independent System Operator","GEO","Geothermal","743","megawatthours"
"2026-09-10T12","CISO","California Independent System Operator","SUN","Solar","-59","megawatthours"
"2026-09-10T12","CISO","California Independent System Operator","WAT","Hydro","2499","megawatthours"
"2026-09-10T12","CISO","California Independent System Operator","WND","Wind","3310","megawatthours"
"2026-09-10T11","CISO","California Independent System Operator","GEO","Geothermal","737","megawatthours"
"2026-09-10T11","CISO","California Independent System Operator","SUN","Solar","-60","megawatthours"
"2026-09-10T11","CISO","California Independent System Operator","WAT","Hydro","2547","megawatthours"
"2026-09-10T11","CISO","California Independent System Operator","WND","Wind","3146","megawatthours"
"2026-09-10T10","CISO","California Independent System Operator","GEO","Geothermal","737","megawatthours"
"2026-09-10T10","CISO","California Independent System Operator","SUN","Solar","-60","megawatthours"
"2026-09-10T10","CISO","California Independent System Operator","WAT","Hydro","2626","megawatthours"
"2026-09-10T10","CISO","California Independent System Operator","WND","Wind","2865","megawatthours"
"2026-09-10T09","CISO","California Independent System Operator","GEO","Geothermal","753","megawatthours"
"2026-09-10T09","CISO","California Independent System Operator","SUN","Solar","-60","megawatthours"
"2026-09-10T09","CISO","California Independent System Operator","WAT","Hydro","3073","megawatthours"
"2026-09-10T09","CISO","California Independent System Operator","WND","Wind","2754","megawatthours"
"2026-09-10T08","CISO","California Independent System Operator","GEO","Geothermal","748","megawatthours"
"2026-09-10T08","CISO","California Independent System Operator","SUN","Solar","-59","megawatthours"
"2026-09-10T08","CISO","California Independent System Operator","WAT","Hydro","3291","megawatthours"
"2026-09-10T08","CISO","California Independent System Operator","WND","Wind","2689","megawatthours"
"2026-09-10T07","CISO","California Independent System Operator","GEO","Geothermal","749","megawatthours"
"2026-09-10T07","CISO","California Independent System Operator","SUN","Solar","-60","megawatthours"
"2026-09-10T07","CISO","California Independent System Operator","WAT","Hydro","3292","megawatthours"
"2026-09-10T07","CISO","California Independent System Operator","WND","Wind","2575","megawatthours"
"2026-09-10T06","CISO","California Independent System Operator","GEO","Geothermal","741","megawatthours"
"2026-09-10T06","CISO","California Independent System Operator","SUN","Solar","-60","megawatthours"
"2026-09-10T06","CISO","California Independent System Operator","WAT","Hydro","3884","megawatthours"
"2026-09-10T06","CISO","California Independent System Operator","WND","Wind","2611","megawatthours"
"2026-09-10T05","CISO","California Independent System Operator","GEO","Geothermal","734","megawatthours"
"2026-09-10T05","CISO","California Independent System Operator","SUN","Solar","-62","megawatthours"
"2026-09-10T05","CISO","California Independent System Operator","WAT","Hydro","4097","megawatthours"
"2026-09-10T05","CISO","California Independent System Operator","WND","Wind","2622","megawatthours"
"2026-09-10T04","CISO","California Independent System Operator","GEO","Geothermal","731","megawatthours"
"2026-09-10T04","CISO","California Independent System Operator","SUN","Solar","-68","megawatthours"
"2026-09-10T04","CISO","California Independent System Operator","WAT","Hydro","3988","megawatthours"
"2026-09-10T04","CISO","California Independent System Operator","WND","Wind","2724","megawatthours"
"2026-09-10T03","CISO","California Independent System Operator","GEO","Geothermal","735","megawatthours"
"2026-09-10T03","CISO","California Independent System Operator","SUN","Solar","-9","megawatthours"
"2026-09-10T03","CISO","California Independent System Operator","WAT","Hydro","4009","megawatthours"
"2026-09-10T03","CISO","California Independent System Operator","WND","Wind","2390","megawatthours"
"2026-09-10T02","CISO","California Independent System Operator","GEO","Geothermal","725","megawatthours"
"2026-09-10T02","CISO","California Independent System Operator","SUN","Solar","2762","megawatthours"
"2026-09-10T02","CISO","California Independent System Operator","WAT","Hydro","4103","megawatthours"
"2026-09-10T02","CISO","California Independent System Operator","WND","Wind","1700","megawatthours"
"2026-09-10T01","CISO","California Independent System Operator","GEO","Geothermal","719","megawatthours"
"2026-09-10T01","CISO","California Independent System Operator","SUN","Solar","11637","megawatthours"
"2026-09-10T01","CISO","California Independent System Operator","WAT","Hydro","3805","megawatthours"
"2026-09-10T01","CISO","California Independent System Operator","WND","Wind","1543","megawatthours"
"2026-09-10T00","CISO","California Independent System Operator","GEO","Geothermal","736","megawatthours"
"2026-09-10T00","CISO","California Independent System Operator","SUN","Solar","16139","megawatthours"
"2026-09-10T00","CISO","California Independent System Operator","WAT","Hydro","3372","megawatthours"
"2026-09-10T00","CISO","California Independent System Operator","WND","Wind","779","megawatthours"
"2026-09-09T23","CISO","California Independent System Operator","GEO","Geothermal","722","megawatthours"
"2026-09-09T23","CISO","California Independent System Operator","SUN","Solar","17114","megawatthours"
"2026-09-09T23","CISO","California Independent System Operator","WAT","Hydro","2714","megawatthours"
"2026-09-09T23","CISO","California Independent System Operator","WND","Wind","911","megawatthours"
"2026-09-09T22","CISO","California Independent System Operator","GEO","Geothermal","736","megawatthours"
"2026-09-09T22","CISO","California Independent System Operator","SUN","Solar","16997","megawatthours"
"2026-09-09T22","CISO","California Independent System Operator","WAT","Hydro","1856","megawatthours"
"2026-09-09T22","CISO","California Independent System Operator","WND","Wind","856","megawatthours"
"2026-09-09T21","CISO","California Independent System Operator","GEO","Geothermal","752","megawatthours"
"2026-09-09T21","CISO","California Independent System Operator","SUN","Solar","18014","megawatthours"
"2026-09-09T21","CISO","California Independent System Operator","WAT","Hydro","1312","megawatthours"
"2026-09-09T21","CISO","California Independent System Operator","WND","Wind","572","megawatthours"
"2026-09-09T20","CISO","California Independent System Operator","GEO","Geothermal","732","megawatthours"
"2026-09-09T20","CISO","California Independent System Operator","SUN","Solar","17840","megawatthours"
"2026-09-09T20","CISO","California Independent System Operator","WAT","Hydro","846","megawatthours"
"2026-09-09T20","CISO","California Independent System Operator","WND","Wind","478","megawatthours"
"2026-09-09T19","CISO","California Independent System Operator","GEO","Geothermal","717","megawatthours"
"2026-09-09T19","CISO","California Independent System Operator","SUN","Solar","17040","megawatthours"
"2026-09-09T19","CISO","California Independent System Operator","WAT","Hydro","629","megawatthours"
