"period","stateid","stateDescription","sectorid","sectorName","customers","price","revenue","sales","customers-units","price-units","revenue-units","sales-units"
"2026-06","ME","Maine","ALL","all sectors","876546","23.19","199.19737","858.94368","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","ME","Maine","COM","commercial","110675","22.24","69.10882","310.70264","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","ME","Maine","IND","industrial","1756","14.21","29.67753","208.84908","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","ME","Maine","OTH","other",NA,NA,NA,NA,"number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","ME","Maine","RES","residential","764115","29.59","100.41102","339.39196","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","ME","Maine","TRA","transportation","0","0","0","0","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","MI","Michigan","ALL","all sectors","5132886","16.75","1450.7286","8660.55123","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","MI","Michigan","COM","commercial","573191","16.63","539.99035","3248.06393","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","MI","Michigan","IND","industrial","5788","9.24","224.07474","2426.10044","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","MI","Michigan","OTH","other",NA,NA,NA,NA,"number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","MI","Michigan","RES","residential","4553905","22.99","686.58785","2985.94505","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","MI","Michigan","TRA","transportation","2","17.12",".07565",".44181","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","MN","Minnesota","ALL","all sectors","2965004","13.97","768.20302","5499.13567","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","MN","Minnesota","COM","commercial","312974","13.68","272.82566","1994.85133","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","MN","Minnesota","IND","industrial","9519","10.23","166.33974","1625.64077","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","MN","Minnesota","OTH","other",NA,NA,NA,NA,"number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","MN","Minnesota","RES","residential","2642510","17.52","328.88795","1877.62288","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","MN","Minnesota","TRA","transportation","1","14.66",".14968","1.02069","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","MO","Missouri","ALL","all sectors","3328777","13.84","987.01715","7132.76224","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
